,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xix,Семантическая когорта
1776,приторный,прилагательное,0,0,0,1,0,1,0,0,2.9726819026523117,вкусный
1796,прогорклый,прилагательное,0,0,0,1,0,1,0,0,0.49102334999167646,вкусный
1797,продолговатый,прилагательное,1,0,1,0,0,0,0,0,8.360667851209627,размер
1803,прозрачно-голубой,прилагательное,1,0,1,0,0,0,0,0,0.06635450675563195,цвет
1806,прозрачность,существительное,0,0,1,0,1,0,1,0,2.4551167499583824,свет
1807,прозрачный,прилагательное,1,0,1,0,0,0,1,0,26.263113773879127,яркость
1816,прокислый,прилагательное,0,0,0,1,0,1,0,0,0.5971905608006876,вкусный
1822,промозглый,прилагательное,1,1,0,0,0,0,0,0,0.5971905608006876,атмосфера
1823,промокнуть,глагол,1,1,0,0,0,0,0,0,3.6760396742620105,атмосфера
1826,пронзительный,прилагательное,1,1,0,0,0,0,1,0,9.953176013344793,звучать
1841,простонать,глагол,1,0,0,0,1,0,1,0,5.7993838904422335,голос
1847,протухлый,прилагательное,0,0,0,1,0,1,0,0,0.7697122783653307,вонь
1848,протухший,прилагательное,0,0,0,1,0,1,0,0,0.11943811216013753,вонь
1850,протяжно,наречие,0,0,1,0,1,0,0,0,7.312266644470642,звучать
1852,протяжный,прилагательное,0,0,1,0,1,0,0,0,6.58236707015869,звучать
1854,прохладно,наречие,1,1,0,0,0,0,1,0,2.57455486211852,температура
1855,прохладный,прилагательное,0,1,0,0,0,1,1,0,7.949269909324708,температура
1873,пряменько,наречие,1,0,1,0,0,0,0,0,0.25214712567140146,форма
1881,прямой,прилагательное,1,0,1,0,0,0,0,0,97.92598106996165,форма
1883,прямоугольник,существительное,1,0,1,0,0,0,0,0,0.9555048972811002,форма
1885,прямоугольный,прилагательное,1,0,1,0,0,0,0,0,1.9110097945622004,форма
1886,пряно,наречие,0,0,0,1,0,1,0,0,0.09289630945788474,вкусный
1887,пряность,существительное,0,0,0,1,0,1,0,0,1.831384386455442,вкусный
1888,пряный,прилагательное,0,0,0,1,0,1,0,0,1.3669028391660183,вкусный
1897,пунцовый,прилагательное,1,0,1,0,0,0,0,0,5.348173244503936,цвет
1900,пурпурный,прилагательное,1,0,1,0,0,0,0,0,0.8626085878232155,цвет
1901,пурпуровый,прилагательное,1,0,1,0,0,0,0,0,2.3622204405004976,цвет
1905,пушистый,прилагательное,1,1,0,0,0,0,0,0,6.356761747189542,осязание
1910,пюсовый,прилагательное,1,0,1,0,0,0,0,0,0.09289630945788474,цвет
1914,пятнистый,прилагательное,1,0,1,0,0,0,0,0,0.4777524486405501,цвет
1924,раздаваться,глагол,1,0,0,0,1,0,1,0,59.3872835462906,звучать
1934,разить,глагол,1,0,0,0,0,1,0,0,2.9461400999500587,запах
1947,разноситься,глагол,1,0,0,0,1,0,1,0,5.202193329641546,звучать
1950,разноцветность,существительное,1,0,1,0,0,0,0,0,0.09289630945788474,цвет
1951,разноцветный,прилагательное,1,0,1,0,0,0,0,0,15.779101706489278,цвет
1955,разящий,причастие,1,0,0,0,0,1,0,0,0.1592508162135167,вонь
1957,раскат,существительное,1,0,0,0,1,0,0,0,5.096026118832534,звучать
1990,реветь,глагол,0,0,0,0,1,1,0,издавать запах,13.111650534912876,голос
1992,режущий,прилагательное,1,1,0,0,0,0,1,0,1.0085885026856058,осязание
2000,ржавый,прилагательное,1,0,1,0,0,0,0,0,2.5612839607673936,цвет
2001,ржание,существительное,1,0,0,0,1,0,0,0,2.8532437904921744,звучать
2002,ржать,глагол,1,0,0,0,1,0,0,0,1.8844679918599476,звучать
2014,ровный,прилагательное,0,1,1,0,1,0,0,гладкий,35.08826317237818,форма
2019,розоватый,прилагательное,1,0,1,0,0,0,0,0,1.0351303053878584,цвет
2020,розовенький,прилагательное,1,0,1,0,0,0,0,0,0.9555048972811002,цвет
2025,розовый,прилагательное,1,0,1,0,0,0,0,0,41.89623556550602,цвет
2033,рулада,существительное,1,0,0,0,1,0,0,0,1.3138192337615127,музыка
2038,рыжий,прилагательное,1,0,1,0,0,0,0,0,21.153816753695466,цвет
2039,рыхло,наречие,1,1,0,0,0,0,0,0,0.09289630945788474,осязание
2040,рыхлый,прилагательное,1,1,0,0,0,0,0,0,6.3700326485406675,осязание
2047,сальный,прилагательное,0,1,0,0,0,1,1,0,10.059343224153805,осязание
2055,сахаристый,прилагательное,1,0,0,1,0,0,0,0,0.2654180270225278,вкусный
2058,сахарный,прилагательное,1,0,0,1,0,0,0,0,9.833737901184657,вкусный
2059,свежесть,существительное,0,0,0,1,0,1,0,0,17.17254634835755,атмосфера
2060,свежий,прилагательное,0,0,0,1,0,1,0,0,100.15549249695087,атмосфера
2063,сверкание,существительное,1,0,1,0,0,0,0,0,0.8227958837698363,яркость
2065,сверкать,глагол,1,0,1,0,0,0,0,0,33.8938820507768,яркость
2075,свет,существительное,1,0,1,0,0,0,0,0,440.5275703506406,свет
2078,светить,глагол,1,0,1,0,0,0,0,0,14.637804190292409,свет
2079,светиться,глагол,1,0,1,0,0,0,0,0,15.991436128107301,свет
2080,светленький,прилагательное,1,0,1,0,0,0,0,0,1.1412975161968697,цвет
2085,светло-голубой,прилагательное,1,0,1,0,0,0,0,0,1.7119462742953044,цвет
2088,светло-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.3450434351292862,цвет
2090,светло-оранжевый,прилагательное,1,0,1,0,0,0,0,0,0.11943811216013753,цвет
2091,светло-розовый,прилагательное,1,0,1,0,0,0,0,0,0.29195982972478063,цвет
2092,светло-серый,прилагательное,1,0,1,0,0,0,0,0,1.6854044715930518,цвет
2093,светло-синий,прилагательное,1,0,1,0,0,0,0,0,0.6502741662051933,цвет
2094,светло-фиолетовый,прилагательное,1,0,1,0,0,0,0,0,0.07962540810675835,цвет
2097,светловатый,прилагательное,1,0,1,0,0,0,0,0,0.06635450675563195,цвет
2099,светлый,прилагательное,1,0,1,0,0,0,0,0,120.08838632634271,цвет
2113,свинцово-серый,прилагательное,1,0,1,0,0,0,1,0,0.06635450675563195,цвет
2121,серебристо-белый,прилагательное,1,0,1,0,0,0,0,0,0.10616721080901113,цвет
2126,серебристый,прилагательное,1,0,1,0,0,0,0,0,8.254500640400614,цвет
2127,серенький,прилагательное,1,0,1,0,0,0,0,0,7.551142868790917,цвет
2131,серо-голубой,прилагательное,1,0,1,0,0,0,0,0,0.41139794188491813,цвет
2138,сероватый,прилагательное,1,0,1,0,0,0,0,0,2.9195982972478065,цвет
2139,серый,прилагательное,1,0,1,0,0,0,0,0,78.05944174732544,цвет
2141,сиверкий,прилагательное,1,1,0,0,0,0,0,0,0.5042942513428029,температура
2143,сивый,прилагательное,1,0,1,0,0,0,0,0,2.348949539149371,цвет
2152,симметрично,наречие,1,0,1,0,0,0,0,0,0.9953176013344793,форма
2153,симметричность,существительное,1,0,1,0,0,0,0,0,0.07962540810675835,форма
2154,симметричный,прилагательное,1,0,1,0,0,0,0,0,3.463705252643988,форма
2155,симметрия,существительное,1,0,1,0,0,0,0,0,2.09680241347797,форма
2156,сине-багровый,прилагательное,1,0,1,0,0,0,0,0,0.4644815472894237,цвет
2160,сине-фиолетовый,прилагательное,1,0,1,0,0,0,0,0,0.10616721080901113,цвет
2163,синевато-красный,прилагательное,1,0,1,0,0,0,0,0,0.06635450675563195,цвет
2165,синеватый,прилагательное,1,0,1,0,0,0,0,0,4.551919163436352,цвет
2167,синенький,прилагательное,1,0,1,0,0,0,0,0,2.003906104020085,цвет
2168,синий,прилагательное,1,0,1,0,0,0,0,0,56.945437697683346,цвет
2171,синий-синий,прилагательное,1,0,1,0,0,0,0,0,0.09289630945788474,цвет
2174,сирена,существительное,1,0,0,0,1,0,0,0,1.9906352026689587,звучать
2179,сиреневый,прилагательное,1,0,1,0,0,0,1,0,0.6900868702585724,цвет
2185,склизкий,прилагательное,1,1,0,0,0,0,0,0,0.4379397445871709,осязание
2186,склизко,наречие,1,1,0,0,0,0,0,0,0.06635450675563195,осязание
2193,скус,существительное,1,0,0,1,0,0,0,0,0.37158523783153896,вкусный
2194,скусный,прилагательное,1,0,0,1,0,0,0,0,0.3450434351292862,вкусный
2198,слабокислый,прилагательное,1,0,0,1,0,0,0,0,0.18579261891576948,вкусный
2201,сладенький,прилагательное,0,0,0,1,0,1,0,0,1.8579261891576948,вкусный
2202,сладенько,наречие,0,0,0,1,0,1,0,0,0.11943811216013753,вкусный
2204,сладкий,прилагательное,0,0,0,1,0,1,0,0,38.631593833128925,вкусный
2207,сладко,наречие,0,0,0,1,0,1,0,0,18.884492622652857,вкусный
2209,сладковатый,прилагательное,0,0,0,1,0,1,0,0,0.544106955396182,вкусный
2211,сладкое,существительное,1,0,0,1,0,0,0,0,11.54568417547996,вкусный
2214,сладость,существительное,0,0,0,1,0,1,0,0,9.329443649841853,вкусный
2215,сласть,существительное,1,0,0,1,0,0,0,0,5.441069553961821,вкусный
2216,слепить,глагол,1,0,1,0,0,0,1,0,2.38876224320275,яркость
2221,слизистый,прилагательное,1,1,0,0,0,0,1,0,1.4332573459216502,вещество
2222,слизкий,прилагательное,1,1,0,0,0,0,0,0,0.06635450675563195,осязание
2234,смак,существительное,1,0,0,1,0,0,0,0,0.29195982972478063,вкусный
2235,смакование,существительное,1,0,0,1,0,0,0,0,0.1725217175646431,вкусный
2239,смачный,прилагательное,1,0,0,1,0,0,0,0,0.1592508162135167,вкусный
2243,смердеть,глагол,1,0,0,0,0,1,0,0,1.9110097945622004,вонь
2256,смрад,существительное,1,0,0,0,0,1,0,старый,3.9679995039867912,вонь
2257,смрадный,прилагательное,1,0,0,0,0,1,0,0,3.1452036202169547,вонь
2258,смурый,прилагательное,1,0,1,0,0,0,1,0,0.544106955396182,цвет
2260,снежно-белый,прилагательное,1,0,1,0,0,0,1,0,0.5573778567473084,цвет
2263,согнутый,прилагательное,1,0,1,0,0,0,0,0,3.729123279666516,форма
2276,солить,глагол,1,0,0,1,0,0,0,0,2.9328691985989326,вкусный
2281,солоноватый,прилагательное,1,0,0,1,0,0,0,0,0.9820466999833529,вкусный
2282,соль,существительное,1,0,0,1,0,0,0,0,54.27798652610694,вкусный
2288,сопрано,существительное,1,0,0,0,1,0,0,0,1.2076520229525016,музыка
2296,сохлый,прилагательное,1,1,0,0,0,0,0,0,0.3981270405337917,атмосфера
2297,сочно,наречие,0,1,0,1,0,1,0,0,0.3981270405337917,вкусный
2298,сочность,существительное,0,1,0,1,0,1,0,0,0.30523073107590704,вкусный
2299,сочный,прилагательное,0,1,0,1,0,1,0,0,7.9359990079735825,вкусный
2303,стенание,существительное,1,0,0,0,1,0,0,0,2.3224077364471185,голос
2306,стон,существительное,1,0,0,0,1,0,0,0,29.288879281935944,голос
2314,стылый,прилагательное,1,1,0,0,0,0,0,0,0.3981270405337917,температура
2324,сухо,наречие,1,1,0,0,0,0,1,0,22.255301565838955,атмосфера
2325,суховатый,прилагательное,1,1,0,0,0,0,0,0,0.41139794188491813,атмосфера
2329,сухонький,прилагательное,0,1,1,0,0,0,1,0,3.330996239132724,атмосфера
2330,сухость,существительное,1,1,0,0,0,0,0,0,5.95863470665575,атмосфера
2341,сыреть,глагол,1,1,0,0,0,0,0,0,0.18579261891576948,атмосфера
2342,сыро,наречие,0,1,1,1,0,1,0,0,5.109297020183661,атмосфера
2343,сырой,прилагательное,0,1,1,1,0,1,0,0,29.474671900851714,атмосфера
2344,сырость,существительное,0,1,1,1,0,1,0,0,13.960988221384964,атмосфера
2345,сытный,прилагательное,1,0,0,1,0,0,0,0,5.162380625588167,вкусный
2346,сытость,существительное,1,0,0,1,0,0,0,0,2.256053229691487,вкусный
2367,тембр,существительное,1,0,0,0,1,0,0,0,0.8360667851209627,музыка
2369,темнеть,глагол,1,0,1,0,0,0,0,0,9.42233995929974,свет
2370,темно,наречие,1,0,1,0,0,0,0,0,24.551167499583823,свет
2383,темноватый,прилагательное,1,0,1,0,0,0,0,0,1.3669028391660183,свет
2384,темнота,существительное,1,0,1,0,0,0,0,0,39.64018233581453,свет
2385,темный,прилагательное,1,0,1,0,0,0,1,0,0.1327090135112639,свет
2387,тепло,наречие,1,1,0,0,0,0,0,0,46.70030185461377,температура
2388,тепловатый,прилагательное,1,1,0,0,0,0,0,0,0.3981270405337917,температура
2389,теплый,прилагательное,1,1,0,0,0,0,0,0,0.38485613918266537,температура
2390,теплынь,существительное,1,1,0,0,0,0,0,0,0.676815968907446,температура
2391,терпкий,прилагательное,0,0,0,1,0,1,0,0,0.4777524486405501,вкусный
2393,терпкость,существительное,0,0,0,1,0,1,0,0,0.06635450675563195,вкусный
2399,тесный,прилагательное,1,0,1,0,0,0,0,0,58.02038070712458,форма
2401,тлетворный,прилагательное,1,0,0,0,0,1,0,0,2.1233442161802225,вонь
2409,тональность,существительное,1,0,0,0,1,0,0,0,0.09289630945788474,музыка
2420,трезвон,существительное,1,0,0,0,1,0,0,0,1.6721335702419253,музыка
2421,трезвучие,существительное,1,0,0,0,1,0,0,0,0.06635450675563195,музыка
2422,тремоло,существительное,1,0,0,0,1,0,0,0,0.1327090135112639,музыка
2423,треугольник,существительное,1,0,1,0,0,0,0,0,13.8282792078737,форма
2425,треугольный,прилагательное,1,0,1,0,0,0,0,0,3.742394181017642,форма
2429,трогание,существительное,1,1,0,0,0,0,0,0,0.1327090135112639,осязание
2430,трубить,глагол,1,0,0,0,1,0,0,0,4.750982683703248,музыка
2440,тугой,прилагательное,0,1,0,0,1,1,0,0,6.250594536380531,вещество
2450,тупой,прилагательное,1,1,0,0,0,0,1,0,19.070285241568623,осязание
2456,тускло,наречие,1,0,1,0,0,0,0,0,5.361444145855063,свет
2461,тускловатый,прилагательное,1,0,1,0,0,0,0,0,0.07962540810675835,свет
2462,тусклый,прилагательное,1,0,1,0,0,0,0,0,13.310714055179771,свет
2463,тухлый,прилагательное,0,0,0,1,0,1,0,0,1.1678393188991225,вонь
2469,тягучесть,существительное,0,1,0,1,1,1,0,0,0.19906352026689586,вещество
2470,тягучий,прилагательное,0,1,0,1,1,1,0,0,1.353631937814892,вещество
2507,узенький,прилагательное,1,0,1,0,0,0,0,0,13.90790461598046,форма
2511,узкий,прилагательное,1,0,1,0,0,0,0,0,63.965744512429204,форма
2514,узко,наречие,1,0,1,0,0,0,0,0,1.7119462742953044,форма
2519,узковатый,прилагательное,1,0,1,0,0,0,0,0,0.21233442161802227,форма
2538,унисон,существительное,1,0,0,0,1,0,0,0,0.9289630945788474,музыка
2576,фиалковый,прилагательное,0,0,1,0,0,1,1,0,0.1725217175646431,цвет
2577,фимиам,существительное,1,0,0,0,0,1,0,0,2.9594110013011856,запах
2578,фиолетовый,прилагательное,1,0,1,0,0,0,0,0,5.9984474107091295,цвет
2581,фисташковый,прилагательное,0,0,1,1,0,1,1,0,0.23887622432027505,цвет
2589,форма,существительное,1,0,1,0,0,0,0,0,223.5217914570218,форма
2598,хладно,наречие,1,1,0,0,0,0,0,0,0.06635450675563195,температура
2599,хладный,прилагательное,1,1,0,0,0,0,0,0,3.23809992967484,температура
2600,хлипкий,прилагательное,0,1,1,0,0,0,0,0,0.25214712567140146,форма
2608,холод,существительное,1,1,0,0,0,0,0,0,58.15308972063585,температура
2610,холодить,глагол,1,1,0,0,0,0,0,0,0.8626085878232155,температура
2611,холодненький,прилагательное,1,1,0,0,0,0,0,0,1.0749430094412378,температура
2619,холодно,наречие,1,1,0,0,0,0,0,0,49.00943868970977,температура
2621,холодный,прилагательное,1,1,0,0,0,0,0,0,109.44512344273936,температура
2627,хрупкий,прилагательное,0,1,1,0,1,0,0,0,3.3840798445372298,осязание
2631,хрупкость,существительное,0,1,1,0,1,0,0,0,0.19906352026689586,осязание
2652,цвет,существительное,1,0,1,0,0,0,0,0,141.48107930435845,цвет
2657,цветной,прилагательное,1,0,1,0,0,0,0,0,14.903222217314937,цвет
2664,червонный,прилагательное,1,0,1,0,0,0,0,0,5.268547836397177,цвет
2669,черно-серый,прилагательное,1,0,1,0,0,0,0,0,0.1327090135112639,цвет
2672,черноватый,прилагательное,1,0,1,0,0,0,0,0,1.4863409513261558,цвет
2709,шаровидный,прилагательное,1,0,1,0,0,0,0,0,0.4777524486405501,форма
2710,шаровой,прилагательное,1,0,1,0,0,0,0,0,0.21233442161802227,форма
2712,шарообразный,прилагательное,1,0,1,0,0,0,0,0,0.9422339959299738,форма
2717,шафранный,прилагательное,1,0,1,0,0,0,1,0,0.4379397445871709,цвет
2718,шафрановый,прилагательное,1,0,1,0,0,0,1,0,0.09289630945788474,цвет
2722,шелковистый,прилагательное,1,1,0,0,0,0,0,0,2.8134310864387952,осязание
2726,шероховатость,существительное,1,1,0,0,0,0,0,0,1.0616721080901113,осязание
2727,шероховатый,прилагательное,1,1,0,0,0,0,0,0,1.3801737405171448,осязание
2730,шершавый,прилагательное,1,1,0,0,0,0,0,боль,1.5925081621351669,осязание
2731,шибать,глагол,1,0,0,0,0,1,1,0,0.23887622432027505,запах
2738,широкий,прилагательное,1,0,1,0,0,0,0,0,178.14857973752066,размер
2741,широко,наречие,1,0,1,0,0,0,0,0,30.098404264354656,размер
2751,широченный,прилагательное,1,0,1,0,0,0,0,0,0.09289630945788474,размер
2762,шум,существительное,1,0,0,0,1,0,0,0,105.9017927819886,звучать
2763,шуметь,глагол,1,0,0,0,1,0,0,0,34.07967466969257,звучать
2772,щупать,глагол,1,1,0,0,0,0,0,0,3.3973507458883563,осязание
2778,эбонитовый,прилагательное,1,0,1,0,0,0,1,0,0.19906352026689586,цвет
2784,эхо,существительное,1,0,0,0,1,0,0,0,7.697122783653307,звучать
2794,яркий,прилагательное,0,0,1,1,1,1,0,0,70.46848617448114,яркость
2795,ярко,наречие,0,0,1,1,1,1,0,0,34.07967466969257,яркость
2796,ярко-белый,прилагательное,1,0,1,0,0,0,0,0,0.2786889283736542,цвет
2797,ярко-голубой,прилагательное,1,0,1,0,0,0,0,0,0.30523073107590704,цвет
2800,ярко-золотой,прилагательное,1,0,1,0,0,0,0,0,0.09289630945788474,цвет
2801,ярко-красный,прилагательное,1,0,1,0,0,0,0,0,1.7783007810509366,цвет
2803,ярко-оранжевый,прилагательное,1,0,1,0,0,0,0,0,0.18579261891576948,цвет
2804,ярко-розовый,прилагательное,1,0,1,0,0,0,0,0,0.30523073107590704,цвет
2805,ярко-синий,прилагательное,1,0,1,0,0,0,0,0,0.19906352026689586,цвет
2808,яркость,существительное,0,0,1,1,1,1,1,0,5.175651526939292,яркость
