,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xviii,Семантическая когорта
7,алебастровый,прилагательное,1,0,1,0,0,0,1,0,2.6046079747561395,цвет
9,алый,прилагательное,1,0,1,0,0,0,0,0,6.511519936890349,цвет
15,аппетит,существительное,1,0,0,1,0,0,0,0,2.7673959731783984,вкусный
19,аромат,существительное,0,0,0,1,0,1,0,0,7.976611922690677,запах
25,ароматный,прилагательное,0,0,0,1,0,1,0,0,1.790667982644846,запах
27,аршинный,прилагательное,1,0,1,0,0,0,1,0,1.4650919858003284,размер 
40,атласный,прилагательное,1,1,0,0,0,0,0,0,1.790667982644846,осязание
55,багровый,прилагательное,1,0,1,0,0,0,0,0,2.279031977911622,цвет
56,багряный,прилагательное,1,0,1,0,0,0,0,0,3.0929719700229157,цвет
61,бас,существительное,1,0,0,0,1,0,0,0,1.6278799842225873,музыка
74,безмерно,наречие,1,0,1,0,0,0,0,глубокий,13.999767864314249,размер 
76,безмерный,прилагательное,1,0,1,0,0,0,0,глубокий,27.185595736517207,размер 
84,беленький,прилагательное,1,0,1,0,0,0,0,0,1.4650919858003284,цвет
98,белый,прилагательное,1,0,1,0,0,0,0,0,235.22865772016385,цвет
118,благовоние,существительное,1,0,0,0,0,1,0,0,6.837095933734866,запах
119,благовонный,прилагательное,1,0,0,0,0,1,0,0,16.929951835914906,запах
127,благоухание,существительное,1,0,0,0,0,1,0,0,14.813707856425545,запах
129,благоуханный,прилагательное,1,0,0,0,0,1,0,0,6.34873193846809,запах
130,благоухать,глагол,1,0,0,0,0,1,0,0,2.4418199763338806,запах
154,блеск,существительное,1,0,1,0,0,0,0,0,26.371655744405913,яркость
155,блестеть,глагол,1,0,1,0,0,0,0,0,2.279031977911622,яркость
158,блестящий,прилагательное,1,0,1,0,0,0,0,0,29.30183971600657,яркость
172,большой,прилагательное,1,0,1,0,0,0,0,0,1016.1226861517389,размер 
202,бурый,прилагательное,1,0,1,0,0,0,0,0,1.9534559810671048,цвет
205,васильковый,прилагательное,1,0,1,0,0,0,1,0,1.790667982644846,цвет
227,веять,глагол,1,0,0,0,0,1,1,0,12.046311883247144,запах
256,вкус,существительное,1,0,0,1,0,0,1,0,123.88166679933889,вкусный
258,вкусить,глагол,1,0,0,1,0,0,0,0,13.674191867469732,вкусный
261,вкусно,наречие,1,0,0,1,0,0,0,0,1.790667982644846,вкусный
265,вкусный,прилагательное,1,0,0,1,0,0,0,0,14.16255586273651,вкусный
270,вкушение,существительное,1,0,0,1,0,0,0,0,3.418547966867433,вкусный
271,влага,существительное,1,1,0,0,0,0,0,0,9.278915910068747,осязание
272,влажность,существительное,1,1,0,0,0,0,0,0,17.7438918280262,атмосфера
273,влажный,прилагательное,1,1,0,0,0,0,0,0,11.557947887980369,атмосфера
288,вонь,существительное,1,0,0,0,0,1,0,0,3.2557599684451746,вонь
291,вонючий,прилагательное,1,0,0,0,0,1,0,0,2.930183971600657,вонь
307,вострый,прилагательное,1,1,0,0,0,0,0,0,2.7673959731783984,осязание
316,вскрикнуть,глагол,1,0,0,0,1,0,0,0,0.9767279905335524,голос
321,втора,существительное,1,0,0,0,1,0,0,0,6.34873193846809,музыка
347,выпуклость,существительное,0,1,1,0,0,0,0,0,1.139515988955811,форма
348,выпуклый,прилагательное,0,1,1,0,0,0,0,0,2.279031977911622,форма
358,высокий,прилагательное,0,0,1,0,1,0,0,0,453.038999609146,размер
368,вытянутый,прилагательное,1,0,1,0,0,0,0,0,5.209215949512279,размер
370,вяжущий,причастие,0,1,0,1,0,0,0,0,0.8139399921112936,вкусный
371,вязкий,прилагательное,0,1,0,1,0,0,0,0,5.372003947934537,вещество
372,вязко,наречие,0,1,0,1,0,0,0,0,1.6278799842225873,вещество
373,вязкость,существительное,0,1,0,1,0,0,0,0,2.279031977911622,вещество
385,гам,существительное,1,0,0,0,1,0,0,0,14.16255586273651,звучать
402,гладкий,прилагательное,1,1,1,0,0,0,1,0,27.348383734939464,осязание
403,гладко,наречие,1,1,1,0,0,0,1,0,5.209215949512279,осязание
409,глас,существительное,1,0,0,0,1,0,0,0,137.39307066838634,звучать
425,глубина,существительное,0,0,1,1,1,0,0,0,101.90528701233397,размер
429,глубоко,наречие,0,0,1,1,1,0,0,0,27.022807738094947,размер
455,гнедой,прилагательное,1,0,1,0,0,0,0,0,0.9767279905335524,цвет
461,голос,существительное,1,0,0,0,1,0,0,0,157.7415704711687,голос
466,голубой,прилагательное,1,0,1,0,0,0,0,0,18.395043821715234,цвет
470,горечь,существительное,1,0,0,1,0,0,1,0,3.418547966867433,вкусный
477,горький,прилагательное,0,0,0,1,0,1,1,0,38.2551796292308,вкусный
480,горько,наречие,0,0,0,1,0,1,1,0,7.4882479274239016,вкусный
484,горьковатый,прилагательное,0,0,0,1,0,1,0,0,0.9767279905335524,вкусный
488,горькость,существительное,1,0,0,1,0,0,0,0,0.9767279905335524,вкусный
495,горячий,прилагательное,1,1,0,0,0,0,1,0,38.906331622919836,температура
496,горячо,наречие,1,1,0,0,0,0,1,0,4.720851954245503,температура
497,гранатовый,прилагательное,1,0,1,0,0,0,1,0,1.3023039873780697,цвет
526,гул,существительное,1,0,0,0,1,0,0,0,0.9767279905335524,звучать
567,длинно,наречие,0,0,1,0,1,0,0,0,1.3023039873780697,размер
573,длинный,прилагательное,0,0,1,0,1,0,0,0,48.83639952667762,размер
610,духота,существительное,1,1,0,0,0,0,0,0,1.790667982644846,атмосфера
613,душистый,прилагательное,1,0,0,0,0,1,0,0,3.7441239637119508,запах
617,дымчатый,прилагательное,1,0,1,0,0,0,0,0,0.9767279905335524,цвет
618,дюжий,прилагательное,1,0,1,0,0,0,0,0,1.6278799842225873,размер 
619,едкий,прилагательное,0,1,0,1,0,1,1,0,3.9069119621342097,вонь
621,едкость,существительное,0,1,0,1,0,1,1,0,2.4418199763338806,вонь
622,елевый,прилагательное,0,0,1,0,0,1,1,0,3.7441239637119508,цвет
624,жар,существительное,1,1,0,0,0,0,1,0,54.533979471456675,атмосфера
625,жара,существительное,1,1,0,0,0,0,1,0,31.41808369549593,атмосфера
626,жареный,прилагательное,0,1,0,1,0,1,0,0,5.372003947934537,вкусный
629,жаркий,прилагательное,1,1,0,0,0,0,1,0,20.67407579962686,атмосфера
630,жарко,наречие,1,1,0,0,0,0,0,0,4.2324879589787265,атмосфера
685,заливаться,глагол,1,0,0,0,1,0,1,0,0.9767279905335524,звучать
706,запах,существительное,1,0,0,0,0,1,0,0,27.83674773020624,запах
728,засуха,существительное,1,1,0,0,0,0,0,0,8.302187919535195,атмосфера
733,затверделый,прилагательное,1,1,0,0,0,0,0,0,3.0929719700229157,осязание
734,затвердеть,глагол,1,1,0,0,0,0,0,0,3.7441239637119508,осязание
753,звенеть,глагол,1,0,0,0,1,0,0,0,0.9767279905335524,звучать
756,звон,существительное,1,0,0,0,1,0,0,0,19.86013580751556,звучать
757,звонить,глагол,1,0,0,0,1,0,0,0,2.279031977911622,звучать
758,звонкий,прилагательное,1,0,0,0,1,0,0,0,2.4418199763338806,звучать
763,звук,существительное,1,0,0,0,1,0,0,0,41.51093959767597,звучать
776,зеленоватый,прилагательное,1,0,1,0,0,0,0,0,4.883639952667761,цвет
788,златой,прилагательное,1,0,1,0,0,0,0,0,32.069235689184964,цвет
789,зловоние,существительное,1,0,0,0,0,1,0,0,2.930183971600657,вонь
795,зной,существительное,1,1,0,0,0,0,0,0,16.27879984222587,атмосфера
798,знойный,существительное,1,1,0,0,0,0,1,0,5.372003947934537,атмосфера
801,золотистый,прилагательное,1,0,1,0,0,0,0,0,0.9767279905335524,цвет
826,изгиб,существительное,0,1,1,0,0,0,0,гибкий,2.279031977911622,форма
828,изгибаться,глагол,0,1,1,0,0,0,0,гибкий,1.139515988955811,форма
865,индиго,прилагательное,1,0,1,0,0,0,1,0,1.139515988955811,цвет
874,искривить,глагол,1,0,1,0,0,0,0,0,2.1162439794893633,форма
923,карий,прилагательное,1,0,1,0,0,0,0,0,3.0929719700229157,цвет
925,кармазинный,прилагательное,1,0,1,0,0,0,0,0,0.9767279905335524,цвет
940,каштановый,прилагательное,1,0,1,0,0,0,0,0,4.720851954245503,цвет
941,квадрат,существительное,1,0,1,0,0,0,0,0,21.162439794893633,форма
942,квадратный,прилагательное,1,0,1,0,0,0,0,0,11.557947887980369,форма
944,квас,существительное,0,0,0,1,0,1,1,0,18.557831820137494,вкусный
947,квашеный,прилагательное,1,0,0,1,0,0,0,0,0.8139399921112936,вкусный
961,кислота,существительное,1,0,0,1,0,0,1,0,13.83697986589199,вкусный
963,кислый,прилагательное,1,0,0,1,0,0,1,0,16.27879984222587,вкусный
969,колкий,прилагательное,1,1,0,0,0,0,1,0,2.279031977911622,осязание
977,колючий,прилагательное,1,1,0,0,0,0,0,0,2.7673959731783984,осязание
978,колющий,прилагательное,1,1,0,0,0,0,0,0,1.139515988955811,осязание
992,коралловый,прилагательное,1,0,1,0,0,0,1,0,1.139515988955811,цвет
1003,коротенький,прилагательное,0,0,1,0,1,0,0,0,2.6046079747561395,размер
1005,короткий,прилагательное,0,0,1,0,1,0,0,0,60.394347414657986,размер
1006,коротко,наречие,0,0,1,0,1,0,0,0,19.86013580751556,размер
1013,красненький,прилагательное,1,0,1,0,0,0,0,0,0.9767279905335524,цвет
1024,красный,прилагательное,1,0,1,0,0,0,0,0,159.53223845381353,цвет
1029,красочный,прилагательное,0,0,1,1,0,0,1,яркий,1.3023039873780697,яркость
1039,кривой,прилагательное,1,0,1,0,0,0,0,0,20.18571180436008,форма
1041,кропкий,прилагательное,1,1,0,0,0,0,0,0,0.9767279905335524,осязание
1049,круг,существительное,1,0,1,0,0,0,0,0,98.32395104704428,форма
1052,круглый,прилагательное,1,0,1,0,0,0,0,0,51.44100750143376,форма
1059,лазоревый,прилагательное,1,0,1,0,0,0,0,0,5.697579944779055,цвет
1064,лакомый,прилагательное,1,0,0,1,0,0,1,0,4.395275957400985,вкусный
1075,ледяной,прилагательное,1,1,0,0,0,0,0,0,5.534791946356797,температура
1077,лилейный,прилагательное,1,0,1,0,0,0,0,0,0.8139399921112936,цвет
1079,лиловый,прилагательное,1,0,1,0,0,0,0,0,1.6278799842225873,цвет
1082,лимонный,прилагательное,0,0,1,1,0,0,0,0,2.7673959731783984,цвет
1083,ломкий,прилагательное,1,1,0,0,0,0,0,0,0.8139399921112936,осязание
1105,маленький,прилагательное,1,0,1,0,0,0,0,0,335.994428743542,размер
1115,малиновый,прилагательное,1,0,1,0,0,0,1,0,3.7441239637119508,цвет
1131,малый,прилагательное,1,0,1,0,0,0,0,0,676.7097094413296,размер
1136,масленый,прилагательное,1,1,0,0,0,0,0,0,2.930183971600657,осязание
1156,мгла,существительное,1,0,1,0,0,0,0,0,5.860367943201314,свет
1163,медовый,прилагательное,1,0,1,0,0,0,1,0,1.6278799842225873,вкусный
1165,мелкий,прилагательное,1,0,1,0,0,0,0,0,83.51024319061872,размер
1166,меловой,прилагательное,1,0,1,0,0,0,1,0,3.418547966867433,цвет
1170,мелодия,существительное,1,0,0,0,1,0,0,0,3.2557599684451746,музыка
1184,миниатюрный,прилагательное,1,0,1,0,0,0,0,0,1.139515988955811,размер
1191,многоугольный,прилагательное,1,0,1,0,0,0,0,0,0.8139399921112936,форма
1198,мокро,наречие,1,1,0,0,0,0,0,0,1.6278799842225873,атмосфера
1200,мокрый,прилагательное,1,1,0,0,0,0,0,0,24.906563758605582,атмосфера
1210,морозный,прилагательное,1,1,0,0,0,0,0,0,4.069699960556467,температура
1217,мрачно,наречие,1,0,1,0,0,0,1,0,0.8139399921112936,свет
1218,мрачный,прилагательное,1,0,1,0,0,0,1,0,44.60391156769889,свет
1220,музыка,существительное,1,0,0,0,1,0,0,0,56.16185945567926,музыка
1228,мутный,прилагательное,1,0,1,0,0,0,1,0,8.302187919535195,свет
1235,мягкий,прилагательное,0,1,0,1,1,1,0,0,51.60379549985601,осязание
1237,мягко,наречие,0,1,0,1,1,1,0,0,2.6046079747561395,осязание
1254,налитой,прилагательное,0,0,1,1,0,0,0,полный,3.581335965289692,вкусный
1275,небесный,прилагательное,1,0,1,0,0,0,1,0,217.3219778937154,цвет
1278,небольшой,прилагательное,1,0,1,0,0,0,0,0,160.67175444276936,размер
1282,невеликий,прилагательное,1,0,1,0,0,0,0,0,10.09285590218004,размер
1289,невкусный,прилагательное,1,0,0,1,0,0,0,0,2.4418199763338806,вкусный
1298,неглубокий,прилагательное,1,0,1,0,0,0,0,0,1.4650919858003284,размер
1327,нежный,прилагательное,0,1,1,1,1,1,0,0,138.53258665734216,осязание
1344,немаленький,прилагательное,1,0,1,0,0,0,0,0,0.9767279905335524,размер 
1345,немалый,прилагательное,1,0,1,0,0,0,0,0,165.88097039228165,размер 
1371,неровно,наречие,0,1,1,0,0,0,0,0,1.3023039873780697,форма
1372,неровность,существительное,0,1,1,0,0,0,0,0,3.9069119621342097,форма
1373,неровный,прилагательное,0,1,1,0,0,0,0,0,6.837095933734866,форма
1384,нетвёрдый,прилагательное,0,1,0,0,1,0,0,0,2.279031977911622,осязание
1396,неширокий,прилагательное,1,0,1,0,0,0,0,0,1.139515988955811,форма
1406,низенький,прилагательное,0,0,1,0,1,0,0,0,2.1162439794893633,размер
1408,низкий,прилагательное,0,0,1,0,1,0,0,0,111.83535491609175,размер
1409,низко,наречие,0,0,1,0,1,0,0,0,10.906795894291335,размер
1410,нота,существительное,1,0,0,0,1,1,1,аромат,6.674307935312607,музыка
1435,овал,существительное,1,0,1,0,0,0,0,0,1.139515988955811,форма
1441,овальный,прилагательное,1,0,1,0,0,0,0,0,2.7673959731783984,форма
1459,огромный,прилагательное,1,0,1,0,0,0,0,0,52.74331148881183,размер 
1472,округлость,существительное,1,0,1,0,0,0,0,0,0.9767279905335524,форма
1487,ор,существительное,1,0,0,0,1,0,0,0,2.7673959731783984,голос
1492,оранжевый,прилагательное,1,0,1,0,0,0,0,0,1.9534559810671048,цвет
1493,орать,существительное,1,0,0,0,1,0,1,0,4.069699960556467,голос
1496,освещать,глагол,1,0,1,0,0,0,1,0,18.72061981855975,свет
1497,освещение,существительное,1,0,1,0,0,0,1,0,3.7441239637119508,свет
1503,ослеплять,глагол,1,0,1,0,0,0,0,0,9.278915910068747,яркость
1515,острейший,прилагательное,0,1,1,1,0,1,1,0,0.8139399921112936,осязание
1520,остроконечный,прилагательное,0,1,1,0,0,0,0,0,2.279031977911622,форма
1522,острота,существительное,0,1,1,1,0,1,1,0,30.27856770654012,форма
1529,осязание,существительное,1,1,0,0,0,0,0,0,7.162671930579384,осязание
1538,отголосок,существительное,1,0,0,0,1,0,0,0,2.1162439794893633,звучать
1553,оттенок,существительное,0,0,1,1,1,1,0,"вкус, аромат",2.930183971600657,цвет
1579,палящий,прилагательное,1,1,0,0,0,0,1,0,1.139515988955811,атмосфера
1586,пахнуть,глагол,1,0,0,0,0,1,0,0,7.813823924268419,запах
1594,пение,существительное,1,0,0,0,1,0,0,0,46.394579550343735,звучать
1629,песня,существительное,1,0,0,0,1,0,0,0,98.9751030407333,музыка
1632,петь,глагол,1,0,0,0,1,0,0,0,71.13835531052706,музыка
1644,плоский,прилагательное,0,0,1,0,1,0,0,0,21.81359178858267,размер
1646,плоскость,существительное,0,0,1,0,1,0,1,0,8.627763916379712,размер
1649,плотный,прилагательное,0,1,1,1,1,1,0,0,11.883523884824886,осязание
1654,повеять,глагол,1,0,0,0,0,1,0,0,2.1162439794893633,запах
1672,покато,прилагательное,1,0,1,0,0,0,0,0,0.9767279905335524,форма
1673,покатость,существительное,1,0,1,0,0,0,0,0,1.139515988955811,форма
1674,покатый,прилагательное,1,0,1,0,0,0,0,0,2.7673959731783984,форма
1696,пребольшой,прилагательное,1,0,1,0,0,0,0,0,3.418547966867433,размер 
1698,преглубокий,прилагательное,0,0,1,1,1,0,0,0,2.1162439794893633,размер
1700,прегорький,прилагательное,0,0,0,1,0,1,0,0,2.4418199763338806,вкусный
1704,предлинный,прилагательное,0,0,1,0,1,0,0,0,2.4418199763338806,размер
1719,пресветлый,прилагательное,1,0,1,0,0,0,0,0,15.13928385327006,яркость
1723,пресладкий,прилагательное,1,0,0,1,0,0,0,0,1.790667982644846,вкусный
1724,пресный,прилагательное,1,0,0,1,0,0,0,0,19.371771812248788,вкусный
1797,продолговатый,прилагательное,1,0,1,0,0,0,0,0,18.395043821715234,размер
1806,прозрачность,существительное,0,0,1,0,1,0,1,0,3.9069119621342097,свет
1807,прозрачный,прилагательное,1,0,1,0,0,0,1,0,30.766931701806897,яркость
1826,пронзительный,прилагательное,1,1,0,0,0,0,1,0,0.8139399921112936,звучать
1852,протяжный,прилагательное,0,0,1,0,1,0,0,0,3.0929719700229157,звучать
1855,прохладный,прилагательное,0,1,0,0,0,1,1,0,6.511519936890349,температура
1881,прямой,прилагательное,1,0,1,0,0,0,0,0,126.32348677567276,форма
1887,пряность,существительное,0,0,0,1,0,1,0,0,0.8139399921112936,вкусный
1888,пряный,прилагательное,0,0,0,1,0,1,0,0,7.65103592584616,вкусный
1901,пурпуровый,прилагательное,1,0,1,0,0,0,0,0,2.7673959731783984,цвет
1905,пушистый,прилагательное,1,1,0,0,0,0,0,0,2.4418199763338806,осязание
1924,раздаваться,глагол,1,0,0,0,1,0,1,0,15.464859850114578,звучать
1934,разить,глагол,1,0,0,0,0,1,0,0,1.790667982644846,запах
1947,разноситься,глагол,1,0,0,0,1,0,1,0,1.9534559810671048,звучать
1951,разноцветный,прилагательное,1,0,1,0,0,0,0,0,14.488131859581026,цвет
1957,раскат,существительное,1,0,0,0,1,0,0,0,6.9998839321571245,звучать
1990,реветь,глагол,0,0,0,0,1,1,0,издавать запах,6.34873193846809,голос
2000,ржавый,прилагательное,1,0,1,0,0,0,0,0,1.139515988955811,цвет
2014,ровный,прилагательное,0,1,1,0,1,0,0,гладкий,46.557367548765995,форма
2025,розовый,прилагательное,1,0,1,0,0,0,0,0,18.232255823292977,цвет
2038,рыжий,прилагательное,1,0,1,0,0,0,0,0,2.930183971600657,цвет
2040,рыхлый,прилагательное,1,1,0,0,0,0,0,0,6.511519936890349,осязание
2047,сальный,прилагательное,0,1,0,0,0,1,1,0,3.581335965289692,осязание
2058,сахарный,прилагательное,1,0,0,1,0,0,0,0,13.999767864314249,вкусный
2059,свежесть,существительное,0,0,0,1,0,1,0,0,1.790667982644846,атмосфера
2060,свежий,прилагательное,0,0,0,1,0,1,0,0,34.673843663941106,атмосфера
2065,сверкать,глагол,1,0,1,0,0,0,0,0,6.837095933734866,яркость
2075,свет,существительное,1,0,1,0,0,0,0,0,731.0809009143638,свет
2078,светить,глагол,1,0,1,0,0,0,0,0,13.023039873780698,свет
2079,светиться,глагол,1,0,1,0,0,0,0,0,3.9069119621342097,свет
2099,светлый,прилагательное,1,0,1,0,0,0,0,0,64.13847137836993,цвет
2126,серебристый,прилагательное,1,0,1,0,0,0,0,0,2.1162439794893633,цвет
2138,сероватый,прилагательное,1,0,1,0,0,0,0,0,2.6046079747561395,цвет
2139,серый,прилагательное,1,0,1,0,0,0,0,0,37.60402763554176,цвет
2155,симметрия,существительное,1,0,1,0,0,0,0,0,1.9534559810671048,форма
2165,синеватый,прилагательное,1,0,1,0,0,0,0,0,4.720851954245503,цвет
2168,синий,прилагательное,1,0,1,0,0,0,0,0,25.55771575229462,цвет
2174,сирена,существительное,1,0,0,0,1,0,0,0,7.813823924268419,звучать
2204,сладкий,прилагательное,0,0,0,1,0,1,0,0,69.02211133103769,вкусный
2207,сладко,наречие,0,0,0,1,0,1,0,0,7.325459929001642,вкусный
2211,сладкое,существительное,1,0,0,1,0,0,0,0,14.813707856425545,вкусный
2214,сладость,существительное,0,0,0,1,0,1,0,0,41.83651559452049,вкусный
2215,сласть,существительное,1,0,0,1,0,0,0,0,2.7673959731783984,вкусный
2216,слепить,глагол,1,0,1,0,0,0,1,0,1.790667982644846,яркость
2222,слизкий,прилагательное,1,1,0,0,0,0,0,0,1.3023039873780697,осязание
2243,смердеть,глагол,1,0,0,0,0,1,0,0,4.2324879589787265,вонь
2256,смрад,существительное,1,0,0,0,0,1,0,старый,4.069699960556467,вонь
2257,смрадный,прилагательное,1,0,0,0,0,1,0,0,6.34873193846809,вонь
2258,смурый,прилагательное,1,0,1,0,0,0,1,0,0.9767279905335524,цвет
2263,согнутый,прилагательное,1,0,1,0,0,0,0,0,1.3023039873780697,форма
2276,солить,глагол,1,0,0,1,0,0,0,0,4.720851954245503,вкусный
2281,солоноватый,прилагательное,1,0,0,1,0,0,0,0,1.3023039873780697,вкусный
2282,соль,существительное,1,0,0,1,0,0,0,0,150.2533225437448,вкусный
2299,сочный,прилагательное,0,1,0,1,0,1,0,0,3.0929719700229157,вкусный
2303,стенание,существительное,1,0,0,0,1,0,0,0,17.092739834337166,голос
2306,стон,существительное,1,0,0,0,1,0,0,0,7.325459929001642,голос
2324,сухо,наречие,1,1,0,0,0,0,1,0,4.069699960556467,атмосфера
2329,сухонький,прилагательное,0,1,1,0,0,0,1,0,2.930183971600657,атмосфера
2330,сухость,существительное,1,1,0,0,0,0,0,0,3.0929719700229157,атмосфера
2343,сырой,прилагательное,0,1,1,1,0,1,0,0,24.092623766494288,атмосфера
2344,сырость,существительное,0,1,1,1,0,1,0,0,9.278915910068747,атмосфера
2345,сытный,прилагательное,1,0,0,1,0,0,0,0,3.2557599684451746,вкусный
2346,сытость,существительное,1,0,0,1,0,0,0,0,2.279031977911622,вкусный
2369,темнеть,глагол,1,0,1,0,0,0,0,0,2.279031977911622,свет
2370,темно,наречие,1,0,1,0,0,0,0,0,9.278915910068747,свет
2383,темноватый,прилагательное,1,0,1,0,0,0,0,0,1.4650919858003284,свет
2384,темнота,существительное,1,0,1,0,0,0,0,0,34.673843663941106,свет
2385,темный,прилагательное,1,0,1,0,0,0,1,0,0.9767279905335524,свет
2387,тепло,наречие,1,1,0,0,0,0,0,0,12.69746387693618,температура
2399,тесный,прилагательное,1,0,1,0,0,0,0,0,52.58052349038957,форма
2401,тлетворный,прилагательное,1,0,0,0,0,1,0,0,1.790667982644846,вонь
2423,треугольник,существительное,1,0,1,0,0,0,0,0,12.371887880091663,форма
2425,треугольный,прилагательное,1,0,1,0,0,0,0,0,6.674307935312607,форма
2430,трубить,глагол,1,0,0,0,1,0,0,0,3.2557599684451746,музыка
2440,тугой,прилагательное,0,1,0,0,1,1,0,0,6.185943940045831,вещество
2450,тупой,прилагательное,1,1,0,0,0,0,1,0,11.720735886402627,осязание
2462,тусклый,прилагательное,1,0,1,0,0,0,0,0,2.7673959731783984,свет
2507,узенький,прилагательное,1,0,1,0,0,0,0,0,4.069699960556467,форма
2511,узкий,прилагательное,1,0,1,0,0,0,0,0,32.069235689184964,форма
2514,узко,наречие,1,0,1,0,0,0,0,0,1.9534559810671048,форма
2577,фимиам,существительное,1,0,0,0,0,1,0,0,4.883639952667761,запах
2578,фиолетовый,прилагательное,1,0,1,0,0,0,0,0,4.395275957400985,цвет
2589,форма,существительное,1,0,1,0,0,0,0,0,26.53444374282817,форма
2599,хладный,прилагательное,1,1,0,0,0,0,0,0,10.418431899024558,температура
2608,холод,существительное,1,1,0,0,0,0,0,0,14.16255586273651,температура
2619,холодно,наречие,1,1,0,0,0,0,0,0,5.04642795109002,температура
2621,холодный,прилагательное,1,1,0,0,0,0,0,0,61.04549940834701,температура
2627,хрупкий,прилагательное,0,1,1,0,1,0,0,0,0.8139399921112936,осязание
2652,цвет,существительное,1,0,1,0,0,0,0,0,198.60135807515564,цвет
2657,цветной,прилагательное,1,0,1,0,0,0,0,0,11.557947887980369,цвет
2664,червонный,прилагательное,1,0,1,0,0,0,0,0,27.185595736517207,цвет
2672,черноватый,прилагательное,1,0,1,0,0,0,0,0,12.86025187535844,цвет
2709,шаровидный,прилагательное,1,0,1,0,0,0,0,0,1.3023039873780697,форма
2712,шарообразный,прилагательное,1,0,1,0,0,0,0,0,0.9767279905335524,форма
2727,шероховатый,прилагательное,1,1,0,0,0,0,0,0,6.023155941623572,осязание
2738,широкий,прилагательное,1,0,1,0,0,0,0,0,56.32464745410152,размер
2741,широко,наречие,1,0,1,0,0,0,0,0,5.04642795109002,размер
2762,шум,существительное,1,0,0,0,1,0,0,0,61.04549940834701,звучать
2763,шуметь,глагол,1,0,0,0,1,0,0,0,21.65080379016041,звучать
2772,щупать,глагол,1,1,0,0,0,0,0,0,1.790667982644846,осязание
2784,эхо,существительное,1,0,0,0,1,0,0,0,6.511519936890349,звучать
2794,яркий,прилагательное,0,0,1,1,1,1,0,0,5.697579944779055,яркость
